Tears In Heaven   Eric Clapton

Someone Like You   Adele

Rolling in the Deep   Adele

Skinny Love   Bon Iver

Leaving, on a Jet Plane   John Denver

Breathe (2 AM)   Anna Nalick

Get Up, Stand Up   The Wailers

Buffalo Soldier   Bob Marley &amp; The Wailers

No Woman, No Cry - Live At The Lyceum, London/1975   Bob Marley &amp; The Wailers

Riptide   Vance Joy

One Way Or Another   Blondie

Vamos a Bailar   Gipsy Kings

Volare (Nel Blu di Pinto di Blu)   Gipsy Kings

Bamboleo   Gipsy Kings

Because I Got High   Afroman

Mambo No. 5 (a Little Bit of...)   Lou Bega

I Want It That Way   Backstreet Boys

Everybody (Backstreet's Back) - Extended Version   Backstreet Boys

Wannabe   Spice Girls

The Fresh Prince of Bel-Air   DJ Jazzy Jeff &amp; The Fresh Prince

Morning Train (Nine to Five)   Sheena Easton

Sweet Child O' Mine   Guns N' Roses

Ghostbusters   Ray Parker, Jr.

Under Pressure - Remastered   Queen

Don't Stop Believin'   Journey

Girls Just Want to Have Fun   Cyndi Lauper

A Thousand Miles   Vanessa Carlton

Suddenly I See   KT Tunstall

Other Side Of The World   KT Tunstall

Kanye   The Chainsmokers

Thinking Out Loud   Ed Sheeran

I See Fire - From "The Hobbit - The Desolation Of Smaug"   Ed Sheeran

Ain't No Mountain High Enough - Stereo Version   Marvin Gaye

Independent Women, Pt. 1   Destiny's Child

Say My Name   Destiny's Child

Survivor   Destiny's Child

Beautiful Day   U2

City Of Blinding Lights   U2

Diamonds on the Soles of Her Shoes   Paul Simon

You Can Call Me Al   Paul Simon

I Want Candy - Re-Recorded   Bow Wow Wow

Galway Girl   Mundy

Colors Of The Wind - End Title - 『ポカホンタス』より   Vanessa Williams

Ev'rybody Wants to Be a Cat - From "Songs From The Aristocats"   Scatman Crothers

On My Way   Phil Collins

Jungle Rhythm - From "The Jungle Book 2"   Haley Joel Osment

Hakuna Matata (duet)   Lebo M.

You've Got a Friend in Me   Randy Newman

If I Didn't Have You   Randy Newman

The Bare Necessities   Phil Harris

Beyond the Sea   Robbie Williams

Can You Feel The Love Tonight - Remastered   Elton John

Thinking of Me   Olly Murs

Please Don't Let Me Go   Olly Murs

Drunken Lullabies   Flogging Molly

If I Ever Leave This World Alive   Flogging Molly

I'm Shipping Up To Boston   Dropkick Murphys

The Irish Rover   Ronnie Drew

The Auld Triangle   The Dubliners

Raglan Road   The Dubliners

Whiskey In The Jar   The Dubliners

The Rocky Road to Dublin - Live   The Dubliners

Raggle Taggle Gypsy - Tabhair Dom Do Lamh   Planxty

Crowswing   NoCrows

Hey Joe   NoCrows

Luz de Luna   The Chieftains

El Caballo   The Chieftains

Sailing to Mexico   The Chieftains

La Golondrina   The Chieftains

La Iguana   The Chieftains

The Foggy Dew   The Chieftains

Viva la Quinte Brigada   Christy Moore

Ride On   Christy Moore

Black Is the Colour   Christy Moore

Guantanamera   Pete Seeger

Talking Union   Pete Seeger

Where Have All the Flowers Gone?   Pete Seeger

Little Boxes   Pete Seeger

I'm On My Way   The Proclaimers

I'm Gonna Be (500 Miles)   The Proclaimers

Don't Worry Be Happy   Bobby McFerrin

Teenage Dirtbag   Wheatus

Africa   Toto

Walk Of Life   Dire Straits

Some Nights   fun.

Tiny Dancer   Elton John

Bohemian Rhapsody - Remastered 2011   Queen

Don't Stop Me Now - Remastered   Queen

I Want To Break Free - Single Remix   Queen

Thank You For The Music   ABBA

Chiquitita   ABBA

Voulez-Vous   ABBA

Fernando   ABBA

S.O.S.   ABBA

The Winner Takes It All   ABBA

Money, Money, Money   ABBA

I Have A Dream   ABBA

Take A Chance On Me   ABBA

Knowing Me, Knowing You   ABBA

Dancing Queen   ABBA

Carry On   fun.

We Are Young (feat. Janelle Monáe)   fun.

Robots   Flight of the Conchords

Hiphopopotamus vs. Rhymenoceros   Flight of the Conchords

Home   Edward Sharpe &amp; The Magnetic Zeros

Welcome Home, Son   Radical Face

The Times They Are A-Changin'   Bob Dylan

The Boxer - Bonus Track   Jerry Douglas

High Hopes   Kodaline

All I Want   Kodaline

All My Friends   LCD Soundsystem

Roll Away Your Stone - Live   Mumford &amp; Sons

The Cave   Mumford &amp; Sons

Little Lion Man   Mumford &amp; Sons

I Will Wait   Mumford &amp; Sons

Redemption Song   Bob Marley &amp; The Wailers

Three Little Birds   Bob Marley &amp; The Wailers

Matilda   Harry Belafonte

A Hole In the Bucket - Live   Harry Belafonte

Jump in the Line   Harry Belafonte

Jamaica Farewell   Harry Belafonte

Jump Down, Spin Around   Harry Belafonte

Island In the Sun (From "Island In the Sun")   Harry Belafonte

Banana Boat (Day-O)   Harry Belafonte

Your Song - Live   Elton John

Can You Feel The Love Tonight? - Live   Elton John

Crocodile Rock - Live   Elton John

Rocket Man - Live   Elton John

